iter	Passed	Remaining
0	164	164045
1	173	86342
2	181	60165
3	190	47314
4	198	39557
5	206	34267
6	216	30641
7	224	27813
8	233	25709
9	242	23962
10	250	22555
11	258	21292
12	267	20289
13	274	19341
14	283	18623
15	291	17934
16	301	17424
17	308	16856
18	317	16399
19	325	15965
20	335	15633
21	343	15273
22	351	14937
23	360	14652
24	368	14358
25	377	14127
26	387	13947
27	395	13718
28	402	13477
29	411	13296
30	418	13087
31	426	12906
32	434	12723
33	442	12571
34	452	12479
35	463	12406
36	471	12262
37	479	12149
38	487	12015
39	497	11935
40	505	11819
41	515	11750
42	525	11693
43	534	11603
44	543	11528
45	550	11424
46	559	11344
47	566	11243
48	575	11165
49	582	11072
50	591	11004
51	599	10924
52	608	10869
53	615	10785
54	624	10730
55	632	10656
56	640	10603
57	648	10529
58	656	10476
59	664	10404
60	673	10364
61	680	10298
62	689	10252
63	696	10193
64	706	10165
65	715	10125
66	726	10113
67	735	10083
68	744	10045
69	754	10026
70	763	9985
71	773	9967
72	783	9943
73	794	9936
74	808	9975
75	823	10011
76	836	10027
77	854	10097
78	868	10119
79	878	10105
80	891	10111
81	904	10128
82	917	10135
83	930	10149
84	945	10175
85	955	10158
86	966	10137
87	976	10118
88	990	10142
89	1002	10131
90	1011	10104
91	1026	10130
92	1041	10159
93	1055	10173
94	1071	10207
95	1086	10226
96	1098	10221
97	1110	10220
98	1123	10220
99	1134	10211
100	1149	10227
101	1160	10216
102	1170	10192
103	1182	10186
104	1195	10190
105	1206	10176
106	1216	10152
107	1226	10133
108	1235	10099
109	1244	10069
110	1252	10029
111	1261	10001
112	1270	9974
113	1280	9955
114	1310	10084
115	1335	10177
116	1347	10170
117	1358	10155
118	1374	10176
119	1383	10143
120	1391	10111
121	1400	10078
122	1409	10048
123	1417	10012
124	1426	9985
125	1434	9947
126	1443	9920
127	1450	9884
128	1459	9852
129	1466	9816
130	1475	9788
131	1483	9755
132	1492	9728
133	1499	9692
134	1508	9664
135	1516	9631
136	1524	9604
137	1532	9573
138	1541	9546
139	1548	9514
140	1558	9492
141	1565	9459
142	1573	9432
143	1581	9399
144	1590	9376
145	1597	9344
146	1606	9319
147	1613	9290
148	1622	9264
149	1629	9236
150	1638	9212
151	1645	9181
152	1654	9159
153	1662	9131
154	1670	9107
155	1679	9088
156	1688	9066
157	1695	9037
158	1703	9012
159	1711	8986
160	1720	8964
161	1727	8936
162	1736	8914
163	1743	8887
164	1752	8869
165	1759	8841
166	1768	8819
167	1775	8793
168	1784	8772
169	1791	8747
170	1799	8723
171	1806	8696
172	1814	8673
173	1822	8649
174	1829	8625
175	1837	8601
176	1844	8577
177	1852	8555
178	1860	8532
179	1869	8514
180	1876	8490
181	1884	8470
182	1892	8447
183	1901	8432
184	1910	8414
185	1918	8397
186	1928	8385
187	1937	8366
188	1947	8356
189	1956	8342
